id,listing_url,name,picture_url,host_since,neighbourhood,latitude,longitude,bedrooms,square_feet,price,number_of_reviews,review_scores_rating
13043340,https://www.airbnb.com/rooms/13043340,Mission Studio in the Perfect Location,https://a0.muscache.com/im/pictures/7f5dd238-9d2d-42e8-8edb-3e2c2714cc9d.jpg?aki_policy=large,2011-07-20,Mission District,37.75754497349558,-122.42012521957733,0,,$115.00,5,96
2049672,https://www.airbnb.com/rooms/2049672,SF Mission Dolores Home,https://a0.muscache.com/im/pictures/38633916/425a4f36_original.jpg?aki_policy=large,2013-06-27,Mission District,37.76249604814942,-122.42260295756658,4,,$575.00,11,95
16272594,https://www.airbnb.com/rooms/16272594,Private Room in Beautiful Apartment,https://a0.muscache.com/im/pictures/35c8bcc1-3caa-4add-9b6c-ef937efd1b26.jpg?aki_policy=large,2013-11-19,Mission District,37.75804240295867,-122.4211010638363,1,,$65.00,7,97
10947787,https://www.airbnb.com/rooms/10947787,Mission House w Roof Deck / Yard,https://a0.muscache.com/im/pictures/6eef7774-b3ad-49a1-af1a-33699a52bee6.jpg?aki_policy=large,2011-04-30,Mission District,37.75788359494436,-122.40753054788262,5,,"$2,000.00",0,
15873936,https://www.airbnb.com/rooms/15873936,Sweet Mission Room,https://a0.muscache.com/im/pictures/4a53cc9c-e2a5-4367-8a0b-dc2602bb5446.jpg?aki_policy=large,2016-11-07,Mission District,37.75456441477415,-122.41252638760093,1,,$51.00,1,
11259062,https://www.airbnb.com/rooms/11259062,Tiny Urban Cottage,https://a0.muscache.com/im/pictures/a9ad854f-ccea-442d-a29a-7d8b809db7b5.jpg?aki_policy=large,2016-02-14,,37.75239754472986,-122.4244804001435,0,,$159.00,30,99
7163038,https://www.airbnb.com/rooms/7163038,Sunlit and modern apartment in SOMA,https://a0.muscache.com/im/pictures/90872254/ebba9526_original.jpg?aki_policy=large,2014-08-09,Mission District,37.76911000754381,-122.41193446152617,1,,$120.00,1,
4533440,https://www.airbnb.com/rooms/4533440,Comfortable Room in Artistic Condo,https://a0.muscache.com/im/pictures/57846861/d91fa602_original.jpg?aki_policy=large,2014-07-24,Mission District,37.76862344492925,-122.42443655528706,1,,$100.00,72,98
14011529,https://www.airbnb.com/rooms/14011529,Bright studio in the HEART OF THE MISSION,https://a0.muscache.com/im/pictures/fe8e9fd0-f4d3-49c6-90d3-52352661384e.jpg?aki_policy=large,2016-03-07,Mission District,37.760662031470986,-122.4208267688101,1,,$50.00,1,
3379430,https://www.airbnb.com/rooms/3379430,WEEKEND ROOM IN THE MISSION ,https://a0.muscache.com/im/pictures/42811045/bc2100aa_original.jpg?aki_policy=large,2014-06-20,Mission District,37.75826017666809,-122.40833040110529,1,,$80.00,1,100
